"filename", "language", "TypeScript", "HTML", "SCSS", "vue", "PostCSS", "XML", "comment", "blank", "total"
"d:\HTML\vue3\vue-useProject\src\views\product\components\wizard\ProtocolSelector.vue", "vue", 0, 0, 0, 175, 0, 0, 0, 24, 199
"d:\HTML\vue3\vue-useProject\src\views\product\detail\ProductDevelop.vue", "vue", 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\HTML\vue3\vue-useProject\src\views\product\detail\ProductFirmware.vue", "vue", 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\HTML\vue3\vue-useProject\src\views\product\detail\ProductOverview.vue", "vue", 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\HTML\vue3\vue-useProject\src\views\product\detail\ProductSettings.vue", "vue", 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\HTML\vue3\vue-useProject\src\views\product\layout\ProductDetailLayout.vue", "vue", 0, 0, 0, 118, 0, 0, 0, 18, 136
"d:\HTML\vue3\vue-useProject\src\views\studio\ProductConfig.vue", "vue", 0, 0, 0, 244, 0, 0, 0, 37, 281
"d:\HTML\vue3\vue-useProject\src\views\studio\ProductFunction.vue", "vue", 0, 0, 0, 322, 0, 0, 0, 43, 365
"d:\HTML\vue3\vue-useProject\src\views\studio\ProductHardware.vue", "vue", 0, 0, 0, 407, 0, 0, 0, 57, 464
"d:\HTML\vue3\vue-useProject\src\views\studio\ProductPanel.vue", "vue", 0, 0, 0, 538, 0, 0, 0, 73, 611
"d:\HTML\vue3\vue-useProject\src\views\studio\ProductRelease.vue", "vue", 0, 0, 0, 376, 0, 0, 0, 44, 420
"d:\HTML\vue3\vue-useProject\src\views\studio\ProductTest.vue", "vue", 0, 0, 0, 1061, 0, 0, 8, 141, 1210
"d:\HTML\vue3\vue-useProject\src\views\studio\components\CustomDpDrawer.vue", "vue", 0, 0, 0, 403, 0, 0, 0, 56, 459
"d:\HTML\vue3\vue-useProject\src\views\studio\components\ExecutionLogModal.vue", "vue", 0, 0, 0, 121, 0, 0, 0, 21, 142
